general	Hey @lawmaker, does it send the wrong message to show up at /link/ with nonsequential unmarked bills?	If I pinky-swore to vote for @lawmaker, can I come to the next fundraiser for free? I feel left out /link/	Bummed to miss /link/ Hey @lawmaker I assume my invite was lost in the mail?!	Saw it was [Contributions Info] to party with @lawmaker /link/ How much would it cost me to just shoot the shit?	Yo @lawmaker, totes blacked out at the fundraiser /link/ Will you remind me what happened?
wine	@lawmaker Sorry to miss your wine fundraiser! Is campaign cash also an aphrodisiac? /link/				
cheese	@lawmaker had a cheese party /link/ It makes me gassy but I'd love an invite to the next fundraiser.				
ice cream	[Contributions Info] for an ice cream fundraiser with @lawmaker. So... dessert, or a used Hyundai /link/	@lawmaker Sorry I missed your [Contributions Info] fundraiser, but I can't handle eating food as expensive as my car /link/	@lawmaker Sorry to miss /link/ [Contributions Info] is a bit much to pay for some ice cream!		
celebrate	@lawmaker There's a party goin' on right here ([venue name])! So bring your good times, and your money too! /link/				
celebration	@lawmaker There's a party goin' on right here ([venue name])! So bring your good times, and your money too! /link/				
cigar	How long in inches was the cigar @lawmaker smoked at /link/?	@lawmaker Bummed to miss /link/ What's the fattest blunt you've ever smoked?	A cigar fundraiser without me? Come on, @lawmaker, I can be just as pompous as any lobbyist /link/	/link/ and I wasn't invited? @lawmaker, get out of the pocket of Big Obnoxious-Habits.	Young Jeezy likes to "fuck bad bitches" and "smoke big blunts." ...so how was @lawmaker's cigar fundraiser? /link/
football	You should play for the Chargers because paying [Contributions Info] to attend this is ridiculous /link/	Saw your football fundraiser /link/ re you now a big PACkers fan @lawmaker?	@lawmaker Nothing beats tossing the ole pigskin around...How was /link/? Any pics?		
birthday	A [Contributions Info] cover charge for @lawmaker's bday?! /link/	Bummed to miss your bday @lawmaker. Did you sip Bacardi, shawty? /link/			
bday	A [Contributions Info] cover charge for @lawmaker's bday?! /link/	Bummed to miss your bday @lawmaker. Did you sip Bacardi, shawty? /link/			
dance	@lawmaker How down did you get at the dance last night? /link/	@lawmaker Why didn't you ask me to the dance?! /link/	Get down with any lobbyists at the dance? /link/ @lawmaker		
dancing	@lawmaker How down did you get at the dance last night? /link/	@lawmaker Why didn't you ask me to the dance?! /link/	Get down with any lobbyists at the dance? /link/ @lawmaker		
industry	@lawmaker What's your favorite industry (not including this one /link/)?				
ladies night	Did the chicas get in free for at ladies night /link/ @lawmaker?!	It was ladies' night at this @lawmaker fundraiser /link/ You're welcome -The 19th Amendment	It was ladies' night at this @lawmaker fundraiser. So, yay 19th Amendment? /link/		
clambake	Hey @lawmaker any good beards at the clambake fundraiser? Brazilians? /link/				
skeet	Missed @lawmaker's skeet shooting fundraiser /link/ Didn't invite me OR Lil Jon.	Y'all skeet skeet motherfuckers @lawmaker /link/	Y'all skeet skeet god damn (God Damn!!!) Y'all skeet skeet motherfuckers (Motherfuckers) @lawmaker /link/		
